Sentimen,Tweet
POSITIF,Gatau anjing gw butuh pestisida buat basmi si anji
POSITIF,bebas, yg penting dicuci dulu yg bersih untuk menghilangkan sisa pestisida
POSITIF,Yg kek gini, dulu waktu kuliah diajarin untuk pestisida alami. Tp gatau di surabaya msh ada ga. Klo m
POSITIF,Katanya bisa jadi pestisida...makanya aku nanam.... masih di pekarangan tetangga
NEGATIF,sayang, coba pilih. kmu pilih sianida, pestisida, atau aku yang selalu ada?
POSITIF,Pandemi Covid-19 Tak Halangi Petani Ikuti Pelatihan Pembuatan Pestisida Alami Online
NEGATIF,pestisida juga ga beda jenis sama sama bahaya
POSITIF,boncabe ama sianida beda jenis
NEGATIF,Pestisida anjrot, disinfektan dari mana
NEGATIF,PSP Kementerian Pertanian : Pupuk dan Pestisida Rawan Dipalsukan
NEGATIF,Sebel akutuh disemprot pestisida:( emang aku hama apa
POSITIF,Berarti tandanya bekasi bebas pestisida
POSITIF,iya jangan lupa kasih pestisida juga
NEGATIF,iya tar disiram pake pestisida
POSITIF,pestisida sj buat menanam
NEGATIF,Pasti dri si kembang pingin tak pestisida to si kembang biar mati layu
POSITIF,Lulus kuliah, pulang kampung, ambil parang dan cangkul lalu bertani. Membuat pupuk dan pestisida sendiri dari bahan alami
POSITIF,Klo untuk kepentingan farmasi dan pestisida sepertinya bisa menjadi daya ungkit ekonomi wilayah Aceh kes…
NEGATIF,Gaboleh pake pestisida, ntar matii
NEGATIF,Kalo pala pusing tu dikasi pestisida bisa sembuh gk a? Bingung bgt mo beli obat aps
NEGATIF,insektisida bersifat racun kontak dan lambung untuk mengendalikan hama pada tanaman Tomat, seper…
POSITIF,Boleh dicoba pestisida pake bawang putih kit, banyak di yutub sih
POSITIF,Ada sangkut pautnya ga sama ‘pestisida’? Petis timun sama selada
NEGATIF,Prinsip agraria mereka adalah menolak jual beli tanah, menolak pajak tanah, menolak penggunaan pestisida dan segala…
NEGATIF,Seharusnya memang seperti itu, cuma petani pada sambat, pupuk mahal, pestisida, terus masa panen agak lama. Sedangk…
NEGATIF,Wkwkwk cuddle kudelan dari kemaren yg kek ginian terus. Grepee2 Insect insect pestisida.  Nggak ada gitu cer…
NEGATIF,Wah boleh juga , btw siapenye pestisida ? SEpupu keknya
NEGATIF,Bisa , kena hama , lupa pestisida
NEGATIF,Rejeki gw ga bisa dipatok ayam karena berbentuk pestisida
POSITIF,Pke pestisida alami, dgn semprot pke cairan bawang putih boleh jga
POSITIF,Untuk kebun ini gua coba sebisa mungkin untuk gak Makai pupuk kimia, gua pakai kotoran sapi yang udah dijemur sampa…
NEGATIF,Kok bisa dia dikatain toxic?? Main sama pestisida teruss
NEGATIF,Au ah lama lama yg nanyain incest insect mulu w pestisida juga
NEGATIF,Wkwkwk cuddle kudelan dari kemaren yg kek ginian terus. Grepee2 Insect insect pestisida.  Nggak ada git…
NEGATIF,Baru pake pestisida sekali karna ada kutu putih
NEGATIF,Aku mulai berkebun tp kalah sama ulet:( btw, itu km kasih pestisida ngga?,
POSITIF,Pembuatan Asap Cair (Asap cair bisa digunakan untuk pestisida alami). dari Sekam. Hasil bakaran bisa jadi arang sek…
POSITIF,BM ini ditanam dilahan kering, hanya siram sekedarnya. Alhamdulillah sam…
POSITIF,wah ini bagaimana nggeh pak tips dan triknya ?saya sangat tertarik k…
POSITIF,ngga busuk kan tapi ? kalau ngga busuk berarti bagus ngga terlalu banyak pestisida buah nya
POSITIF,Strychnine adalah sebuah alkaloid kristaline, pahit, tak berwarna dan beracun yang dipakai sebagai pestisida, menye…
NEGATIF,Udah gitu bau pestisida, dikira hama wereng kali ya
POSITIF,Kagak ada kak, cenderung adem. Ketimbang pestisida panas
NEGATIF,kudu tak siram pestisida ae
POSITIF,Iya bener klo gak diberantas pake pestisida
POSITIF,MakananOrganik adlh sgl hasil pertnian yg dibudidayakan tidak memakai bahan kimiawi baik utk pupuk maupun pembasmi hama (pestisida
